Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
pck	b3403	945667	P22259	JW3366,pckA	phosphoenolpyruvate carboxykinase (ATP)	8.1
pcm	b2743	944923	P0A7A5	JW2713	L-isoaspartate protein carboxylmethyltransferase type II	Basal machinery
pcnB	b0143	947318	P0ABF1	JW5808	poly(A) polymerase I	Basal machinery
pdeF						Basal machinery
pdeL						8.1
pdeR						8.1
pdhR	b0113	944827	P0ACL9	genA,aceC,JW0109,yacB	PdhR DNA-binding transcriptional dual regulator	8.8
pdxA	b0052	944919	P19624	JW0051	PdxA	Basal machinery
pdxJ	b2564	947039	P0A794	JW2548	PdxJ	Basal machinery
pepA	b4260	948791	P68767	JW4217,carP,xerB	aminopeptidase A/I	8.30
pepD	b0237	945013	P15288	JW0227,pepH	peptidase D	Basal machinery
pepP	b2908	947385	P15034	JW2876	PepP	Basal machinery
pfkA	b3916	948412	P0A796	JW3887	6-phosphofructokinase-1 monomer	8.1
pfkB	b1723	946230	P06999	JW5280	6-phosphofructokinase-2 monomer	Basal machinery
pflA	b0902	945517	P0A9N4	act,JW0885	pyruvate formate-lyase activating enzyme	Basal machinery
pflB	b0903	945514	P09373	pfl,JW0886	PflB	Basal machinery
pgaA	b1024	945596	P69434	JW1010,ycdS	partially N-deacetylated poly-&beta;-1,6-N-acetyl-D-glucosamine outer membrane porin	Intermodular
pgaB	b1023	945604	P75906	JW5142,ycdR	poly-&beta;-1,6-N-acetyl-D-glucosamine N-deacetylase	Intermodular
pgaC	b1022	945606	P75905	ycdQ,JW1007	poly-&beta;-1,6-N-acetyl-D-glucosamine synthase - PgaC subunit	Intermodular
pgaD	b1021	947503	P69432	ycdP,JW1006	poly-&beta;-1,6-N-acetyl-D-glucosamine synthase - PgaD subunit	Intermodular
pgi	b4025	948535	P0A6T1	JW3985		Basal machinery
pgk	b2926	947414	P0A799	JW2893	phosphoglycerate kinase	8.1
pgpA	b0418	947542	P18200	JW0408,yajN	phosphatidylglycerophosphatase A	Basal machinery
pgpB	b1278	945863	P0A924	JW1270	phosphatidylglycerophosphatase/diacylglycerol pyrophosphate phosphatase/undecaprenyl pyrophosphate phosphatase	Basal machinery
pgrR	b1328	945930	P77333	ycjZ,JW1321	PgrR DNA-binding transcriptional repressor	12
pheA	b2599	947081	P0A9J8	JW2580	PheA	Basal machinery
pheL	b2598	947080	P0AD72	JW2579,pheAE	leader peptide of chorismate mutase-P-prephenate dehydratase	Basal machinery
pheP	b0576	945199	P24207	JW0565	phenylalanine:H<sup>+</sup> symporter PheP	Basal machinery
phnC	b4106	948623	P16677	JW4067	phosphonate ABC transporter - ATP binding subunit	Basal machinery
phnD	b4105	948624	P16682	JW4066,psiD	phosphonate ABC transporter - periplasmic binding protein	Basal machinery
phnE	b4104	948625		JW4065,phnE_1		Basal machinery
phnE_2					phosphonate/organophosphate ester transporter (pseudogene)	Basal machinery
phnF	b4102	948617	P16684	JW4063	PhnF predicted transcriptional regulator	Basal machinery
phnG	b4101	948618	P16685	JW4062	PhnG subunit of methylphosphonate degradation complex	Basal machinery
phnH	b4100	948619	P16686	JW4061	PhnH subunit of methylphosphonate degradation complex	Basal machinery
phnI	b4099	948605	P16687	JW4060	PhnI subunit of methylphosphonate degradation complex	Basal machinery
phnJ	b4098	948606	P16688	JW4059	carbon-phosphorous lyase	Basal machinery
phnK	b4097	948611	P16678	JW5727	predicted carbon-phosphorous lyase subunit	Basal machinery
phnL	b4096	948612	P16679	JW4057	PhnL subunit of methylphosphonate degradation complex	Basal machinery
phnM	b4095	948613	P16689	JW4056	RPnTP hydrolase	Basal machinery
phnN	b4094	948608	P16690	JW4055	ribose 1,5-bisphosphokinase	Basal machinery
phnO	b4093	948599	P16691	JW4054	aminoalkylphosphonate <i>N</i>-acetyltransferase	Basal machinery
phnP	b4092	948600	P16692	JW4053	5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase	Basal machinery
phoA	b0383	945041	P00634	JW0374	PhoA	Basal machinery
phoB	b0399	945046	P0AFJ5	JW0389	PhoB transcriptional dual regulator	Global regulator
phoE	b0241	944926	P02932	ompE,JW0231	PhoE	Basal machinery
phoH	b1020	948010	P0A9K1	JW1005,psiH	ATP-binding protein	Basal machinery
phoP	b1130	945697	P23836	JW1116	PhoP	8.1
phoQ	b1129	946326	P23837	JW1115	PhoQ sensory histidine kinase	8.1
phoR	b0400	945044	P08400	JW0390,nmpB	PhoR	Basal machinery
phoU	b3724	948233	P0A9K7	JW3702,nmpA		Basal machinery
phr	b0708	947005	P00914	JW0698,phrB	deoxyribodipyrimidine photolyase (photoreactivation)	Basal machinery
pka	b2584	947056	P76594	patZ,yfiQ,JW2568	peptidyl-lysine acetyltransferase	Basal machinery
plsB	b4041	948541	P0A7A7	JW4001	glycerol-3-phosphate acyltransferase	Basal machinery
plsX	b1090	946165	P27247	JW5156	fatty acid/phospholipid synthesis protein	Basal machinery
pncB	b0931	946648	P18133	JW0914	nicotinate phosphoribosyltransferase	Basal machinery
pncC	b2700	947169	P0A6G3	JW2670,ygaD	NMN aminohydrolase	Basal machinery
pnp	b3164	947672	P05055	JW5851	polynucleotide phosphorylase monomer	8.19
polA	b3863	948356	P00582	resA,JW3835	DNA polymerase I, 5' --> 3' polymerase, 5' --> 3'  and 3' --> 5' exonuclease	29
polB	b0060	944779	P21189	JW0059,dinA	DNA polymerase II	36
poxB	b0871	946132	P07003	JW0855	pyruvate oxidase monomer	Basal machinery
ppdD	b0108	945817	P36647	JW0104	prepilin peptidase dependent protein	Basal machinery
pphA	b1838	946356	P55798	prpA,yebX,JW1827	protein phosphatase 1 modulates phosphoproteins, signals protein misfolding	Basal machinery
ppiA	b3363	947870	P0AFL3	rot,rotA,JW3326	peptidyl-prolyl <i>cis-trans</i> isomerase A (rotamase A)	8.35
ppiD	b0441	946056	P0ADY1	JW0431,ybaU	periplasmic folding chaperone	Basal machinery
ppk	b2501	946971	P0A7B1	JW2486	Ppk	Basal machinery
ppsA	b1702	946209	P23538	pps,JW1692	phosphoenolpyruvate synthetase	8.1
ppx	b2502	946970	P0AFL6	JW2487	exopolyphosphatase monomer	Basal machinery
pqiA	b0950	944999	P0AFL9	JW0933,pqi5A	paraquat-inducible protein A	8.2
pqiB	b0951	945653	P43671	JW0934,pqi5B	paraquat-inducible protein B	8.2
preA	b2147	949037	P25889	yeiA,JW2134	NADH-dependent dihydropyrimidine dehydrogenase subunit	Basal machinery
preT	b2146	949049	P76440	yeiT,JW2133	NADH-dependent dihydropyrimidine dehydrogenase subunit	Basal machinery
prfA	b1211	949002	P0A7I0	JW1202,uar,sueB	peptide chain release factor RF1	Basal machinery
prfB	b2891	947369	P07012	supK,JW5847	peptide chain release factor RF2	Basal machinery
priB	b4201	948722	P07013	JW4159	PriB	Basal machinery
prlC	b3498	948016	P27298	JW3465,opdA	oligopeptidase A	Basal machinery
prmA	b3259	947708	P0A8T1	yhdI,JW3227	methyltransferase for 50S ribosomal subunit protein L11	Basal machinery
prmC	b1212	945779	P0ACC1	JW1203,hemK	protein-(glutamine-N5) methyltransferase	Basal machinery
proP	b4111	948626	P0C0L7	JW4072	ProP	Basal machinery
proS	b0194	949116	P16659	drpA,JW0190	prolyl-tRNA synthetase	Basal machinery
proV	b2677	947148	P14175	JW2652	glycine betaine / proline ABC transporter - ATP binding subunit	Basal machinery
proW	b2678	947145	P14176	JW2653	glycine betaine / proline ABC transporter - membrane subunit	Basal machinery
proX	b2679	947165	P0AFM2	proU,JW2654	glycine betaine / proline ABC transporter - periplasmic binding protein	Basal machinery
prpB	b0331	944990	P77541	yahQ,JW0323	2-methylisocitrate lyase	Basal machinery
prpC	b0333	947528	P31660	yzzD,yahS,JW0324	2-methylcitrate synthase	Basal machinery
prpD	b0334	945931	P77243	yahT,JW0325	2-methylcitrate dehydratase	Basal machinery
prpE	b0335	946891	P77495	yahU,JW0326	propionyl-CoA synthetase	Basal machinery
prpR	b0330	944987	P77743	JW0322,yahP	PrpR DNA-binding transcriptional dual regulator	44
prs	b1207	945772	P0A717	prsA,JW1198	ribose-phosphate diphosphokinase	Basal machinery
psd	b4160	948673	P0A8K1	JW4121	phosphatidylserine decarboxylase, proenzyme	Basal machinery
psiE	b4030	948528	P0A7C8	yjbA,JW3990	predicted phosphate starvation-inducible protein	Basal machinery
psiF	b0384	945040	P0AFM4	JW5054	conserved protein	Basal machinery
pspA	b1304	945887	P0AFM6	JW1297	regulatory protein for the phage shock protein operon	33
pspB	b1305	945893	P0AFM9	JW1298	stimulates PspC-mediated transcriptional activation of the psp operon; antitoxin of a PspC-PspB toxin-antitoxin pair	33
pspC	b1306	945499	P0AFN2	JW1299	PspC transcriptional regulator; toxin of a PspC-PspB toxin-antitoxin pair	33
pspD	b1307	945635	P0AFV8	JW1300	peripheral inner membrane phage-shock protein	33
pspE	b1308	945652	P23857	JW1301	thiosulfate sulfurtransferase	33
pspF	b1303	945683	P37344	ycjB,JW1296	PspF transcriptional dual regulator	33
pspG	b4050	948557	P32696	JW5716,yjbO	phage shock protein G	33
pstA	b3726	948239	P07654	JW3704,phoT	phosphate ABC transporter - membrane subunit	Basal machinery
pstB	b3725	948240	P0AAH0	phoT,JW3703	phosphate ABC transporter - ATP binding subunit	Basal machinery
pstC	b3727	948238	P0AGH8	JW3705,phoW	phosphate ABC transporter - membrane subunit	Basal machinery
pstS	b3728	948237	P0AG82	JW3706,phoS	phosphate ABC transporter - periplasmic binding protein	Basal machinery
pth	b1204	945765	P0A7D1	JW1195	peptidyl-tRNA hydrolase	Basal machinery
ptrA	b2821	947284	P05458	ptr,JW2789	protease III	36
ptsG	b1101	945651	P69786	umg,glcA,JW1087	glucose PTS permease - PtsG subunit	Intermodular
ptsH	b2415	946886	P0AA04	JW2408,hpr	HPr	Intermodular
ptsI	b2416	946879	P08839	JW2409	PtsI	Intermodular
ptsN	b3204	947721	P69829	JW3171,rpoP,yhbI	phosphotransferase system enzyme IIA, regulation of potassium transport	Basal machinery
purA	b4177	948695	P0A7D4	adeK,JW4135	PurA	Intermodular
purB	b1131	945695	P0AB89	JW1117	adenylosuccinate lyase	8.10
purC	b2476	946957	P0A7D7	JW2461	PurC	8.10
purD	b4005	948504	P15640	JW3969	phosphoribosylamine-glycine ligase	Intermodular
purE	b0523	949031	P0AG18	JW0512	PurE	Basal machinery
purF	b2312	946794	P0AG16	JW2309	PurF	8.10
purH	b4006	948503	P15639	JW3970	AICAR transformylase/IMP cyclohydrolase	Intermodular
purK	b0522	945153	P09029	JW0511	N5-carboxyaminoimidazole ribonucleotide synthetase monomer	Basal machinery
purL	b2557	947032	P15254	purI,JW2541	phosphoribosylformylglycinamide synthetase	Basal machinery
purM	b2499	946975	P08178	purG,JW2484	PurM	8.10
purN	b2500	946973	P08179	JW2485	phosphoribosylglycinamide formyltransferase 1	8.10
purR	b1658	945226	P0ACP7	JW1650	PurR	8.10
putA	b1014	945600	P09546	poaA,JW0999	fused PutA transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase	8.1
putP	b1015	945602	P07117	JW1001	proline:Na<sup>+</sup> symporter	8.1
puuA	b1297	946202	P78061	JW5201,ycjK	glutamate-putrescine ligase	11
puuB	b1301	945072	P37906	JW1294,ycjA,ordL	&gamma;-glutamylputrescine oxidase	11
puuC	b1300	947003	P23883	JW1293,aldH	&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase	11
puuD	b1298	945882	P76038	JW1291,ycjL	&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase	11
puuE	b1302	945446	P50457	JW1295,goaG	4-aminobutyrate aminotransferase	11
puuP	b1296	946287	P76037	JW1289,ycjJ	putrescine:H<sup>+</sup> symporter PuuP	11
puuR	b1299	945886	P0A9U6	JW1292,ycjC	PuuR DNA-binding transcriptional repressor	11
pykA	b1854	946527	P21599	JW1843	pyruvate kinase II monomer	Basal machinery
pykF	b1676	946179	P0AD61	JW1666	pyruvate kinase I monomer	8.1
pyrC	b1062	945787	P05020	JW1049	PyrC	8.10
pyrD	b0945	945556	P0A7E1	JW0928	dihydroorotate dehydrogenase, type 2	Basal machinery
pyrF	b1281	947121	P08244	JW1273	PyrF	Basal machinery
pyrH	b0171	944989	P0A7E9	JW0166,smbA	UMP kinase	Basal machinery
qseB	b3025	945369	P52076	JW2993,ygiX	QseB transcriptional activator	8.1
qseC	b3026	947174	P40719	JW2994,ygiY	QseC sensory histidine kinase	8.1
queA	b0405	944905	P0A7F9	JW0395	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	Basal machinery
raiA	b2597	947129	P0AD49	yfiA,JW2578	stationary phase translation inhibitor and ribosome stability factor	Basal machinery
rapA	b0059	948523		yabA,JW0058,hepA		Basal machinery
rapZ	b3205		P0A894	yhbJ,JW3172	RNase adaptor protein	Basal machinery
rarA	b0892	945505	P0AAZ4	JW0875,mgsA,ycaJ	recombination factor	Basal machinery
rbfA	b3167	947685	P0A7G2	JW3136,yhbB,P15B	30S ribosome binding factor	8.19
rbsA	b3749	948264	P04983	JW3728	ribose ABC transporter - putative ATP binding subunit	8.17
rbsB	b3751	948261	P02925	rbsP,JW3730,prlB	ribose ABC transporter - putative periplasmic binding protein	8.17
rbsC	b3750	948262	P0AGI1	JW3729	ribose ABC transporter - membrane subunit	8.17
rbsD	b3748	948267	P04982	JW5857	ribose pyranase	8.17
rbsK	b3752	948260	P0A9J6	JW3731	ribokinase	8.17
rbsR	b3753	948266	P0ACQ0	JW3732	RbsR DNA-binding transcriptional dual regulator	8.17
rcdA	b0846	945473	P75811	ybjK,JW5114	RcdA DNA-binding transcriptional regulator	8.1
rclA	b0304	946092	P77212	ykgC,JW5040	predicted oxidoreductase with FAD/NAD(P)-binding domain and dimerization domain; hypochlorite stress response	25
rclB	b0303	945658	P75687	ykgI,JW5039	predicted protein, hypochlorite stress response	25
rclC	b0301	944974	P75685	JW5038,ykgB	conserved inner membrane protein, hypochlorite stress response	25
rclR	b0305	945616	P77379	JW0298,ykgD	RclR DNA-binding transcriptional activator	25
rcnA	b2106	949078	P76425	yohM,JW2093	Ni<sup>2+</sup> / Co<sup>2+</sup> efflux transporter	20
rcnB	b2107	949080	P64534	JW5346,yohN	periplasmic protein involved in nickel/cobalt efflux	20
rcnR	b2105	947114	P64530	JW2092,yohL	RcnR DNA-binding transcriptional repressor	20
rcsA	b1951	946467	P0DMC9	JW1935	positive DNA-binding transcriptional regulator of capsular polysaccharide synthesis, activates its own expression	8.1
rcsB	b2217	947441	P0DMC7	JW2205	RcsB	8.1
rcsD	b2216	946717	P39838	JW2204,yojP,yojQ,yojN	RcsD phosphotransferase	Basal machinery
rdgB	b2954	947429	P52061	yggV,JW2921		Basal machinery
rdoA	b3859		P0C0K3	JW3831,srkA,yihE	serine/threonine protein kinase	Basal machinery
recA	b2699	947170	P0A7G6	lexB,zab,recH,tif,umuB,rnmB,JW2669	DNA strand exchange and recombination protein with protease and nuclease activity	36
recB	b2820	947286	P08394	JW2788,rorA,ior	RecB	36
recC	b2822	947294	P07648	JW2790	RecC	Basal machinery
recD	b2819	947287	P04993	JW2787,hopE	RecD	36
recF	b3700	948209	P0A7H0	JW3677,uvrF	ssDNA and dsDNA binding,  ATP binding	29
recJ	b2892	947367	P21893	JW2860	RecJ	Basal machinery
recN	b2616	947105	P05824	JW5416,radB	protein used in recombination and DNA repair	36
recO	b2565	947038	P0A7H3	JW2549	protein interacts with RecR and possibly RecF proteins	Basal machinery
recR	b0472	945100	P0A7H6	JW0461	recombination and repair	Basal machinery
recX	b2698	947172	P33596	JW2668,oraA	regulatory protein RecX; inhibitor of RecA	36
relA	b2784	947244	P0AG20	JW2755	GDP pyrophosphokinase/GTP pyrophosphokinase	Intermodular
relB	b1564	948308	P0C079	JW1556	RelB Qin prophage; antitoxin of the RelE-RelB toxin-antitoxin system and DNA binding transcriptional repressor	3
relE	b1563	947549	P0C077	JW1555	Qin prophage; toxin of the RelE-RelB toxin-antitoxin system and cofactor to enhance the repressor activity of RelB	3
rep	b3778	948292	P09980	JW5604	rep	Basal machinery
rfaC	b3621			JW3596,yibC,waaC,rfa-2		Basal machinery
rfaG	b3631			JW3606,waaG,pcsA		Basal machinery
rhaA	b3903	948400	P32170	JW5561	L-rhamnose isomerase	50
rhaB	b3904	948399	P32171	JW3875	L-rhamnulose kinase	50
rhaD	b3902	948401	P32169	JW3873,rhuA	rhamnulose-1-phosphate aldolase monomer	50
rhaR	b3906	948396	P09378	JW3877,rhaC1	RhaR transcriptional activator	50
rhaS	b3905	948397	P09377	rhaC2,JW3876	RhaS	50
rhaT	b3907	948398	P27125	JW3878	rhamnose / lyxose:H<sup>+</sup> symporter	50
ribA	b1277	945763	P0A7I7	JW1269	GTP cyclohydrolase II	8.2
ribE	b0415	946453	P61714	ybaF,JW0405,ribH	RibE	Basal machinery
ribF	b0025	949129	P0AG40	JW0023,yaaC	bifunctional riboflavin kinase / FMN adenylyltransferase	Basal machinery
rihB	b2162	946646	P33022	yeiK,JW2149	ribonucleoside hydrolase 2 (pyrimidine-specific)	Basal machinery
rimK	b0852	945484	P0C0U4	JW0836	ribosomal protein S6 modification protein	Intermodular
rimM	b2608	947101	P0A7X6	JW5413,yfjA	ribosome maturation protein	Basal machinery
rimP	b3170	947680	P0A8A8	JW5533,yhbC	ribosome maturation protein	8.19
rirA						Basal machinery
rlmE	b3179	947689	P0C0R7	mrsF,ftsJ,JW3146,rrmJ	23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase	Basal machinery
rluA	b0058	946262	P0AA37	yabO,JW0057	23S rRNA and tRNA pseudouridine synthase	Basal machinery
rmf	b0953	945567	P0AFW2	JW0936	ribosome modulation factor	Basal machinery
rnb	b1286	945864	P30850	JW1279	ribonuclease II	Basal machinery
rnc	b2567	947033	P0A7Y0	JW2551	RNase III	Basal machinery
rnd	b1804	946328	P09155	JW1793	RNase D	Basal machinery
rne	b1084	945641	P21513	ams,JW1071,hmp1	RNase E	Basal machinery
rnhB	b0183	944852	P10442	JW0178	RNAse HII,  degrades RNA of DNA-RNA hybrids	Basal machinery
rnlA	b2630	947107	P52129	std,JW2611,yfjN	CP4-57 prophage; RNase LS, toxin of the RnlAB toxin-antitoxin system	8.22
rnlB	b2631	947113	P52130	JW5418,yfjO	CP4-57 prophage; antitoxin of the RnlA-RnlB toxin-antitoxin system	8.22
rob	b4396	948916	P0ACI0	JW4359	Rob DNA-binding transcriptional activator	8.2
rpe	b3386	947896	P0AG07	JW3349,yhfD,dod	ribulose-5-phosphate 3-epimerase	Basal machinery
rpiB	b4090	948602	P37351	JW4051,yjcA	allose-6-phosphate isomerase / ribose-5-phosphate isomerase B monomer	Basal machinery
rpiR	b4089		P0ACS7	yjcY,alsR,JW4050	AlsR DNA-binding transcriptional repressor	Basal machinery
rplB	b3317	947820	P60422	JW3279	50S ribosomal subunit protein L2	Basal machinery
rplC	b3320	947817	P60438	JW3282	50S ribosomal subunit protein L3	Basal machinery
rplD	b3319	947818	P60723	eryA,JW3281	50S ribosomal subunit protein L4	Basal machinery
rplI	b4203	948720	P0A7R1	JW4161	50S ribosomal subunit protein L9	Basal machinery
rplM	b3231	947828	P0AA10	JW3200	50S ribosomal subunit protein L13	Basal machinery
rplP	b3313	947806	P0ADY7	JW3275	50S ribosomal subunit protein L16	Basal machinery
rplQ	b3294	947784	P0AG44	JW3256	50S ribosomal subunit protein L17	Basal machinery
rplS	b2606	947096	P0A7K6	JW2587	50S ribosomal subunit protein L19	Basal machinery
rplT	b1716	945152	P0A7L3	pdzA,JW1706	50S ribosomal subunit protein L20	Basal machinery
rplU	b3186	949057	P0AG48	JW3153	50S ribosomal subunit protein L21	8.1
rplV	b3315	947813	P61175	JW3277,eryB	50S ribosomal subunit protein L22	Basal machinery
rplW	b3318	947819	P0ADZ0	JW3280	50S ribosomal subunit protein L23	Basal machinery
rpmA	b3185	945190	P0A7L8	JW3152	50S ribosomal subunit protein L27	8.1
rpmC	b3312	947807	P0A7M6	JW3274	50S ribosomal subunit protein L29	Basal machinery
rpmE	b3936	948425	P0A7M9	JW3907	50S ribosomal subunit protein L31	Basal machinery
rpmI	b1717	946349	P0A7Q1	JW1707	50S ribosomal subunit protein L35	Basal machinery
rpoA	b3295	947794	P0A7Z4	JW3257,sez,phs,pez	RNA polymerase, &alpha; subunit	Basal machinery
rpoD	b3067	947567	P00579	JW3039,alt	RNA polymerase, sigma 70 (sigma D) factor	Global regulator
rpoE	b2573	947050	P0AGB6	JW2557,sigE	RNA polymerase, sigma 24 (sigma E) factor	Global regulator
rpoH	b3461	947970	P0AGB3	hin,fam,JW3426,htpR	RNA polymerase, sigma 32 (sigma H) factor	Global regulator
rpoN	b3202	947714	P24255	JW3169,ntrA,glnF	RNA polymerase, sigma 54 (sigma N) factor	Global regulator
rpoS	b2741	947210	P13445	otsX,nur,katF,sigS,JW5437,appR	RNA polymerase, sigma S (sigma 38) factor	Global regulator
rpsA	b0911	945536	P0AG67	ssyF,JW0894	30S ribosomal subunit protein S1	Basal machinery
rpsB	b0169	947874	P0A7V0	JW0164	30S ribosomal subunit protein S2	Basal machinery
rpsC	b3314	947814	P0A7V3	JW3276	30S ribosomal subunit protein S3	Basal machinery
rpsD	b3296	947793	P0A7V8	JW3258,ramA	30S ribosomal subunit protein S4	Basal machinery
rpsF	b4200	948723	P02358	JW4158	30S ribosomal subunit protein S6	Basal machinery
rpsI	b3230	949000	P0A7X3	JW3199	30S ribosomal subunit protein S9	Basal machinery
rpsJ	b3321	947816	P0A7R5	nusE,JW3283	30S ribosomal subunit protein S10	Basal machinery
rpsK	b3297	947792	P0A7R9	JW3259	30S ribosomal subunit protein S11	Basal machinery
rpsM	b3298	947791	P0A7S9	JW3260	30S ribosomal subunit protein S13	Basal machinery
rpsO	b3165	947686	P0ADZ4	JW3134,secC	30S ribosomal subunit protein S15	8.19
rpsP	b2609	947103	P0A7T3	JW2590	30S ribosomal subunit protein S16	Basal machinery
rpsQ	b3311	947808	P0AG63	JW3273,neaA	30S ribosomal subunit protein S17	Basal machinery
rpsR	b4202	948721	P0A7T7	JW4160	30S ribosomal subunit protein S18	Basal machinery
rpsS	b3316	947811	P0A7U3	JW3278	30S ribosomal subunit protein S19	Basal machinery
rpsU	b3065	947577	P68679	JW3037	30S ribosomal subunit protein S21	36
rraA	b3929	948419	P0A8R0	JW3900,yiiV,menG	ribonuclease E inhibitor protein	Basal machinery
rraB	b4255	948773	P0AF90	yjgD,JW4212	ribonuclease E inhibitor protein B	Basal machinery
rrrD	b0555	947539	P78285	arrD,JW0544,ybcS	DLP12 prophage; lysozyme	Basal machinery
rsd	b3995	948496	P0AFX4	JW3959	regulator of &sigma;<sup>70</sup> (&sigma;<sup>D</sup>), stationary phase protein	Basal machinery
rseA	b2572	947053	P0AFX7	yfiJ,mclA,JW2556	anti-sigma factor	Intermodular
rseB	b2571	947054	P0AFX9	JW2555	rseB	Intermodular
rseC	b2570	947052	P46187	JW2554	SoxR and &sigma;<sup>E</sup> factor regulatory protein RseC	Intermodular
rseP	b0176	944871	P0AEH1	ecfE,JW0171,yaeL	RseP zinc protease, signal peptide peptidase	Basal machinery
rsmG	b3740	948250	P0A6U5	JW3718,gidB	16S rRNA m<sup>7</sup>G527 methyltransferase	Basal machinery
rsmH	b0082	944806	P60390	mraW,JW0080,yabC	16S rRNA m<sup>4</sup>C1402 methyltransferase	8.8
rsmJ	b3497	948005	P68567	JW5672,yhiQ	16S rRNA m<sup>2</sup>G1516 methyltransferase	Basal machinery
rspR	b1540	946087		JW1533,ydfH		Basal machinery
rssA	b1234	945725	P0AFR0	ychK,JW1222	conserved protein	Basal machinery
rssB	b1235	945855	P0AEV1	sprE,JW1223,hnr,ychL	regulator of RpoS	Basal machinery
rstA	b1608	946199	P52108	JW1600,urpT	RstA transcriptional regulator	8.1
rstB	b1609	948870	P18392	uspT,JW1601	RstB sensory histidine kinase	8.1
rtcA	b4475	2847707	P46849	JW5688,yhgK,yhgJ	RNA 3'-terminal phosphate cyclase	Basal machinery
rtcB	b3421	947929	P46850	yhgL,JW3384	RNA ligase	Basal machinery
rutA	b1012	945643	P75898	ycdM,JW0997	pyrimidine oxygenase	8.1
rutB	b1011	945699	P75897	JW5139,ycdL	peroxyureidoacrylate / ureidoacrylate amido hydrolase	8.1
rutC	b1010	945599	P0AFQ5	ycdK,JW0995	predicted aminoacrylate peracid reductase	8.1
rutD	b1009	946586	P75895	ycdJ,JW0994	predicted aminoacrylate hydrolase	8.1
rutE	b1008	946591	P75894	ycdI,JW0993	predicted malonic semialdehyde reductase	8.1
rutF	b1007	946594	P75893	ycdH,JW5138	flavin reductase	8.1
rutG	b1006	946589	P75892	ycdG,JW5137	uracil:H<sup>+</sup> symporter RutG	8.1
rutR	b1013	945075	P0ACU2	JW0998,ycdC	RutR DNA-binding transcriptional dual regulator	8.1
ruvA	b1861	946369	P0A809	JW1850	branch migration of Holliday structures; repair	36
ruvB	b1860	946371	P0A812	JW1849	branch migration of Holliday structures; repair helicase	36
rybA		mntS			RybA small RNA	Basal machinery
rzpD	b0556	945929	P75719	ybcT,JW5079	DLP12 prophage; predicted murein endopeptidase	Basal machinery
safA	b1500	946061	P76136	yneN,JW1494.1	two-component system connector protein	8.1
sbcC	b0397	949076	P13458	JW0387,rmuA	ATP-dependent dsDNA exonuclease	Basal machinery
sbcD	b0398	945049	P0AG76	yajA,JW0388	ATP-dependent dsDNA exonuclease	Basal machinery
sbmA	b0377	946884	P0AFY6	JW0368		Basal machinery
sbmC	b2009	946546	P33012	JW1991,yeeB,gyrI	DNA gyrase inhibitor	Basal machinery
sdaA	b1814	946331	P16095	JW1803	L-serine deaminase I	Basal machinery
sdhA	b0723	945402	P0AC41	JW0713	succinate:quinone oxidoreductase, FAD binding protein	Basal machinery
sdhB	b0724	945300	P07014	JW0714	succinate:quinone oxidoreductase, iron-sulfur cluster binding protein	Basal machinery
sdhC	b0721	945316	P69054	cybA,JW0711	succinate:quinone oxidoreductase, membrane protein SdhC	Basal machinery
sdhD	b0722	945322	P0AC44	JW0712	succinate:quinone oxidoreductase, membrane protein SdhC	Basal machinery
sdiA	b1916	946421	P07026	JW1901	SdiA DNA-binding transcriptional dual regulator	8.14
sdsN						Basal machinery
secB	b3609	948123	P0AG86	JW3584	SecB	Basal machinery
secG	b3175	947720	P0AG99	JW3142	SecG	Basal machinery
serA	b2913	945258	P0A9T0	JW2880		Basal machinery
serC	b0907	945527	P23721	JW0890,pdxF,pdxC		Basal machinery
setA	b0070	944793	P31675	yabM,JW0069	sugar / lactose efflux transporter SetA	67
sgbE	b3583	948099	P37680	JW3555,yiaS	L-ribulose-5-phosphate 4-epimerase	Basal machinery
sgbH	b3581	948098	P37678	JW3553,yiaQ	3-keto-L-gulonate 6-phosphate decarboxylase	Basal machinery
sgbU	b3582	948100	P37679	yiaR,JW5650	predicted L-xylulose 5-phosphate 3-epimerase	Basal machinery
sgrR	b0069	944788	P33595	JW0068,yabN	SgrR DNA-binding transcriptional dual regulator	67
sgrT	b4662	7751624		JW0068.1	SgrT, regulator of PtsG activity	67
shiA	b1981	946495	P76350	yeeM,JW1962	shikimate:H<sup>+</sup> symporter	Basal machinery
shoB	b4687	7751620	C1P611	JW2546.1,ryfB,yphI	toxic peptide ShoB	Basal machinery
sixA	b2340	946815	P76502	JW2337,yfcW	phosphohistidine phosphatase	Basal machinery
skp	b0178	944861	P0AEU7	JW0173,hlpA,ompH	periplasmic chaperone	Basal machinery
slp	b3506	948022	P37194	JW3474	starvation lipoprotein	8.1
slt	b4392	948908	P0AGC3	sltY,JW4355	soluble lytic murein transglycosylase	Basal machinery
slyA	b1642	946167	P0A8W2	JW5267	SlyA DNA-binding transcriptional activator	48
